Handle,Title,Body(HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Alt Text,Gift Card,Google Shopping / MPN,Google Shopping / Age Group,Google Shopping / Gender,Google Shopping / Google Product Category,SEO Title,SEO Description,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit
Val-Pak Products V20-065,"V20-065 - Val-Pak Ortega 3 Way Valve Cap (1.5"") - 72420",,Val-Pak Products,Valves,"valve,ortega,part",True,OEM,72420,,,,,VAL_V20-065,,shopify,10,deny,manual,9.99,,True,,811636027558,https://s3-us-west-1.amazonaws.com/shopifyimportimages/VAL_V20-065.jpg,Val-Pak Products V20-065,,,,,,"V20-065 - Val-Pak Ortega 3 Way Valve Cap (1.5"") - 72420","V20-065 - Val-Pak Ortega 3 Way Valve Cap (1.5"") - 72420         Val-Pak is a USA manufacturer that specializes in high quality         and heavy duty swimming pool and spa equipment and parts.    ",,,,,,,,,,,
Val-Pak Products V20-204,V20-204 - Val-Pak Whisperflo Impeller (1.5 HP) - 73129,,Val-Pak Products,Pumps,"pump,whisperflo,part",True,OEM,73129,,,,,VAL_V20-204,,shopify,10,deny,manual,9.99,,True,,811636020160,https://s3-us-west-1.amazonaws.com/shopifyimportimages/VAL_V20-204.jpg,Val-Pak Products V20-204,,,,,,V20-204 - Val-Pak Whisperflo Impeller (1.5 HP) - 73129,V20-204 - Val-Pak Whisperflo Impeller (1.5 HP) - 73129         Val-Pak is a USA manufacturer that specializes in high quality         and heavy duty swimming pool and spa equipment and parts.    ,,,,,,,,,,,
Val-Pak Products V20-201,V20-201 - Val-Pak Whisperflo Impeller (1/2 HP) - 73126,,Val-Pak Products,Pumps,"pump,whisperflo,part",True,OEM,73126,,,,,VAL_V20-201,,shopify,10,deny,manual,9.99,,True,,811636027176,https://s3-us-west-1.amazonaws.com/shopifyimportimages/VAL_V20-201.jpg,Val-Pak Products V20-201,,,,,,V20-201 - Val-Pak Whisperflo Impeller (1/2 HP) - 73126,V20-201 - Val-Pak Whisperflo Impeller (1/2 HP) - 73126         Val-Pak is a USA manufacturer that specializes in high quality         and heavy duty swimming pool and spa equipment and parts.    ,,,,,,,,,,,
Val-Pak Products V20-068,"V20-068 - Val-Pak Ortega Check Valve Seat Assembly (2"") - 73502",,Val-Pak Products,Valves,"valve,ortega,part",True,OEM,73502,,,,,VAL_V20-068,,shopify,10,deny,manual,9.99,,True,,811636027589,https://s3-us-west-1.amazonaws.com/shopifyimportimages/VAL_V20-068.jpg,Val-Pak Products V20-068,,,,,,"V20-068 - Val-Pak Ortega Check Valve Seat Assembly (2"") - 73502","V20-068 - Val-Pak Ortega Check Valve Seat Assembly (2"") - 73502         Val-Pak is a USA manufacturer that specializes in high quality         and heavy duty swimming pool and spa equipment and parts.    ",,,,,,,,,,,
Val-Pak Products V20-069,"V20-069 - Val-Pak Ortega Check Valve Seat Assembly (1.5"") - 73503",,Val-Pak Products,Valves,"valve,ortega,part",True,OEM,73503,,,,,VAL_V20-069,,shopify,10,deny,manual,9.99,,True,,811636027596,https://s3-us-west-1.amazonaws.com/shopifyimportimages/VAL_V20-069.jpg,Val-Pak Products V20-069,,,,,,"V20-069 - Val-Pak Ortega Check Valve Seat Assembly (1.5"") - 73503","V20-069 - Val-Pak Ortega Check Valve Seat Assembly (1.5"") - 73503         Val-Pak is a USA manufacturer that specializes in high quality         and heavy duty swimming pool and spa equipment and parts.    ",,,,,,,,,,,
Val-Pak Products V20-203,V20-203 - Val-Pak Whisperflo Impeller (1 HP) - 73128,,Val-Pak Products,Pumps,"pump,whisperflo,part",True,OEM,73128,,,,,VAL_V20-203,,shopify,10,deny,manual,9.99,,True,,811636020153,https://s3-us-west-1.amazonaws.com/shopifyimportimages/VAL_V20-203.jpg,Val-Pak Products V20-203,,,,,,V20-203 - Val-Pak Whisperflo Impeller (1 HP) - 73128,V20-203 - Val-Pak Whisperflo Impeller (1 HP) - 73128         Val-Pak is a USA manufacturer that specializes in high quality         and heavy duty swimming pool and spa equipment and parts.    ,,,,,,,,,,,
Val-Pak Products V20-205,V20-205 - Val-Pak Whisperflo Impeller (2 HP) - 73130,,Val-Pak Products,Pumps,"pump,whisperflo,part",True,OEM,73130,,,,,VAL_V20-205,,shopify,10,deny,manual,9.99,,True,,811636020177,https://s3-us-west-1.amazonaws.com/shopifyimportimages/VAL_V20-205.jpg,Val-Pak Products V20-205,,,,,,V20-205 - Val-Pak Whisperflo Impeller (2 HP) - 73130,V20-205 - Val-Pak Whisperflo Impeller (2 HP) - 73130         Val-Pak is a USA manufacturer that specializes in high quality         and heavy duty swimming pool and spa equipment and parts.    ,,,,,,,,,,,
Val-Pak Products V55-110,V55-110 - Val-Pak Jandy Gauge/Air Release - R0357200,,Val-Pak Products,Filters,"jandy,part",True,OEM,R0357200,,,,,VAL_V55-110,,shopify,10,deny,manual,9.99,,True,,811636024250,https://s3-us-west-1.amazonaws.com/shopifyimportimages/VAL_V55-110.jpg,Val-Pak Products V55-110,,,,,,V55-110 - Val-Pak Jandy Gauge/Air Release - R0357200,V55-110 - Val-Pak Jandy Gauge/Air Release - R0357200         Val-Pak is a USA manufacturer that specializes in high quality         and heavy duty swimming pool and spa equipment and parts.    ,,,,,,,,,,,
Val-Pak Products V20-202,V20-202 - Val-Pak Whisperflo Impeller (3/4 HP) - 73127,,Val-Pak Products,Pumps,"pump,whisperflo,part",True,OEM,73127,,,,,VAL_V20-202,,shopify,10,deny,manual,9.99,,True,,811636020146,https://s3-us-west-1.amazonaws.com/shopifyimportimages/VAL_V20-202.jpg,Val-Pak Products V20-202,,,,,,V20-202 - Val-Pak Whisperflo Impeller (3/4 HP) - 73127,V20-202 - Val-Pak Whisperflo Impeller (3/4 HP) - 73127         Val-Pak is a USA manufacturer that specializes in high quality         and heavy duty swimming pool and spa equipment and parts.    ,,,,,,,,,,,
Val-Pak Products V20-225,V20-225 - Val-Pak FNS Plus/4000 Air Relief/Gauge - 73027/98209800,,Val-Pak Products,Filters,"filter,american products,part",True,OEM,"73027, 98209800",,,,,VAL_V20-225,,shopify,10,deny,manual,9.99,,True,,811636020092,https://s3-us-west-1.amazonaws.com/shopifyimportimages/VAL_V20-225.jpg,Val-Pak Products V20-225,,,,,,V20-225 - Val-Pak FNS Plus/4000 Air Relief/Gauge - 73027/98209800,V20-225 - Val-Pak FNS Plus/4000 Air Relief/Gauge - 73027/98209800         Val-Pak is a USA manufacturer that specializes in high quality         and heavy duty swimming pool and spa equipment and parts.    ,,,,,,,,,,,
